slug,total,authority,mutation,artifact,human_loop,delivery,rationale
caret,7.8,8,8,8,7,8,"Design Mode delegates open-ended visual instructions to the coding-agent runtime while ast-editor performs guarded atomic JSX mutations resolved by stable data-caret-id attributes, so AI edits persistent React source directly ('ai-edit-handler.ts', 'ast-editor.ts'). The .caret design layer and Git are the durable recovery layer, and sync materializes reviewed changes into application source. Delivery is live in-editor preview plus application-source writeback; dynamic JSX falls back to scoped agent editing."
anima,8.2,8,8,9,7,9,"Every Playground is a sessionId-addressed internal Git repository and an authorized agent clones, commits and pushes to change the existing artifact rather than regenerating it; chat, Code tab and visual text edit also alter files. Authority is strong across p2c/l2c/f2c/import ingress, and publish/one-way GitHub push/version history cover delivery. Multi-writer merge semantics and history-to-commit mapping are undisclosed, a bounded artifact caveat."
chilldeck,7.0,8,6,7,7,7,"A multi-agent orchestrator (planner/research/writing/quality/slide-design/image stages) produces structured slides that enter a database-backed editor store, giving AI primary authorship of deliverable content. Mutation is moderate: generation is a pipeline and iteration happens in the human SlideEditor, with no strong evidence the AI re-edits slides already in the store. PPTX/PDF/text export closes delivery."
vextra-mcp,2.4,1,1,3,5,2,"Vextra MCP is a read-only design-file bridge: it parses local Figma/Sketch/Vextra/SVG files and renders node PNG/SVG images for external agents, with three inspection tools and no write tool. Authority and mutation are therefore 1; the artifact is the host file plus cached/derivative renders. It delivers visual grounding for implementation or checking, not a shipped design result."
ai-ui-designer,5.4,7,3,6,5,6,"The hosted generation record binds brief → preview → HTML and React TSX exports, evidencing AI authorship of a full page/UI from a brief. Mutation is one-shot: no first-party evidence of editing existing output or source round-trip, so mutation is 3. Exported source is a takeaway deliverable; native layer editing, project recovery and collaboration are unverified and penalized."
polaris-umang,7.6,8,8,8,7,7,"Inngest conversation tools list/read/create/update/rename/delete Convex file records, so AI directly mutates the persistent project file graph, with CodeMirror as the human direct-edit surface and WebContainer as the preview projection. GitHub import/export is an explicit sync boundary with the Convex project authoritative until remote success. No in-product snapshot/restore ledger exists, a minor artifact caveat."
codex-slides,7.8,8,8,8,7,8,"The pipeline (outline → visual system → page renders → correction) writes project.json, Design Files and numbered page images to disk, and deckVersions keeps immutable project-local snapshots with restore, evidencing AI authorship and mutation of a durable per-slide render artifact. Chat/mark/direct deck operations plus presenter view and PDF/image-backed PPTX export close the loop. Visual-quality claims were treated as product claims, not evidence."
ako-visual-design-agent,4.8,3,4,6,5,6,"AKO is a deterministic rules-based pipeline (Perceptor/Planner matrices, Pillow mockups) that calls no model, so 'AI authorship' is governed template selection rather than learned design; it still produces icons, theme JSON and PNG assets. Mockup approval gates production and reviewers can demand revision, giving limited iteration, while the output directory is the durable store. Human inspection is a required interactive step, capping human_loop."
figma-design-agent,8.6,9,9,9,8,8,"The agent in Figma Design creates and edits native layers using the file's real components, tokens and variables, with parallel prompts, chat undo and host-file version history — AI is the direct author and mutator of the shared design file. Humans select, prompt and review on the canvas, so the loop is collaborative though highly automated. Internal transaction/concurrency semantics are undisclosed, penalized only as unknown rather than demonstrated defects."
deckestra,5.4,4,5,6,6,6,"Deckestra routes new-deck/template-fill/beautification/native-enhancement jobs through deterministic layout with a layout-trace gate, so decks are produced by scripted geometry rather than learned design, capping authority. It delivers editable .pptx with narration/animation preserved, and privacy/provenance gates govern releases. Free-form AI iteration on an existing deck is not evidenced, so mutation is capped."
draftwalk,6.0,5,6,7,6,6,"The metric plan is the single source of truth and the design route parses bounded, schema-validated model operations before applying them, so AI can mutate real plan geometry but only under fixed constraints, with a deterministic basic planner otherwise. Human top-view/block editing drives the plan while Blender compiles it into a walkable 3D result with concept JSON/SVG exports. Authority is deliberately subordinate to deterministic invariants."
